"DOY" "Depth" "TIN"
303 79.5 0.04
303 99.8 0.05
303 121 0.05
303 150.3 0.24
303 249.2 0.62
303 349.2 5.6
304 2.9 14.4
304 199.8 0.23
304 319 1.28
304 400.1 6.2
304 499.8 8.28
304 3 16.05
304 119.9 0.25
304 148.6 0.49
304 199.9 2.91
304 299.2 5.56
304 400.7 11.78
299 150.2 1.09
299 197.6 2.63
299 299.3 3.71
299 400.7 4.97
300 79.3 0.24
300 99.8 0.6
300 119.7 1.38
300 149.7 2.76
300 200 3.15
300 298.3 3.46
300 398.1 3.43
300 100.7 0.61
300 119.7 1.84
300 151.6 3.17
300 202.8 3.37
300 299.9 3.45
300 399 4.6
300 100 0.35
300 121.6 2.22
300 150.8 3.11
300 201.4 3.17
300 299.4 3.48
300 401 4
301 99.8 0.06
301 118.5 0.91
301 150.5 2.34
301 199.1 3.42
301 249.4 4.72
301 300 4.9
301 499.3 10.24
301 149.6 1.59
301 200 2.94
301 250.8 3.37
301 299.5 4.78
301 400.7 7.67
301 120.8 0.4
301 150.7 1.8
301 199.9 2.25
301 248.7 4.24
301 300.8 4.38
302 120.6 0.19
302 149.8 0.9
302 150.3 0.46
302 201 2.01
302 246.5 3.56
302 300.3 4.19
302 399.6 8.26
302 99.9 0.77
302 150.5 0.31
302 200.2 4.65
302 249.9 7.32
302 298.7 8.9
303 100.6 2.66
303 120.5 0.9
303 149.8 3
303 200 3.04
303 300.4 5.18
303 149.7 0.64
303 200 2.1
303 300.7 4.88
303 401.4 8.82
304 3.4 0.04
304 19.5 0.04
304 59.4 0.04
304 99.8 0.04
304 150.1 0.68
304 200.4 2.83
304 299 5.52
171 50.3 5.83
171 61 13.15
171 100.6 0.9
171 140.8 13.27
171 105.3 20.99
171 301 25.5
171 401.2 23.39
172 101.2 0.14
172 140.3 3.14
172 199.9 4.3
172 301 7.85
172 80 0.39
172 100.6 1.61
172 121 1.75
172 200.9 2.57
172 401.2 3.93
173 80.8 0.8
173 100.6 1.09
173 121.2 1.15
173 200.3 2.54
173 399.9 3.03
173 3.5 0.07
173 79.8 0.24
173 100.7 0.84
173 120.9 1.24
173 201.1 2.77
173 401.8 3.08
173 60.3 0.28
173 80.3 1.5
173 100.6 2.11
173 121.6 2.09
173 201.8 2.61
173 399.1 2.96
174 120.2 0.35
174 140 0.76
174 200.7 3.94
174 301.3 7.75
174 400.9 13.98
174 61.1 0.08
174 79.8 1.05
174 100.3 1.96
174 120.6 2.53
174 201.1 2.71
174 299.8 3.3
174 401.8 4.79
291 3.7 0.03
291 98.8 0.89
291 121.1 2.38
291 140.6 2.65
291 201.2 3.15
291 301.2 3.46
291 401.2 5.32
291 499.4 8.49
292 120.6 0.64
292 140.3 0.8
292 158.9 2.8
292 200.1 3.58
292 299.4 4.34
292 399.7 5.02
292 119.7 0.14
292 139.8 1.25
292 199.1 3.06
292 238.5 3.43
292 301.8 4.11
293 137.8 0.44
293 200.1 2.85
293 299.9 4.75
293 361.9 5.16
293 498.9 9.38
293 121 0.06
293 140.8 1
293 160.7 2.09
293 200.3 3.88
293 301.2 3.83
293 499.9 9.8
293 118.5 0.08
293 200.1 3.94
293 298.4 4.87
294 120 0.04
294 143.8 0.65
